step,time_s,event,com_z_m,height_error_m
332,3.3200000000000003,BELOW_TARGET_MINUS_1CM,0.2892032265663147,-0.010796773433685292
333,3.33,BELOW_TARGET_MINUS_1CM,0.28918391466140747,-0.010816085338592518
334,3.34,BELOW_TARGET_MINUS_1CM,0.28916603326797485,-0.010833966732025135
335,3.35,BELOW_TARGET_MINUS_1CM,0.28914961218833923,-0.010850387811660755
336,3.36,BELOW_TARGET_MINUS_1CM,0.2891346514225006,-0.010865348577499379
337,3.37,BELOW_TARGET_MINUS_1CM,0.289121150970459,-0.010878849029541005
338,3.38,BELOW_TARGET_MINUS_1CM,0.28910914063453674,-0.010890859365463246
339,3.39,BELOW_TARGET_MINUS_1CM,0.2890985906124115,-0.01090140938758849
340,3.4,BELOW_TARGET_MINUS_1CM,0.289089560508728,-0.010910439491271962
341,3.41,BELOW_TARGET_MINUS_1CM,0.28908202052116394,-0.010917979478836048
342,3.42,BELOW_TARGET_MINUS_1CM,0.28907597064971924,-0.01092402935028075
343,3.43,BELOW_TARGET_MINUS_1CM,0.2890714108943939,-0.010928589105606068
344,3.44,BELOW_TARGET_MINUS_1CM,0.289068341255188,-0.010931658744812
345,3.45,BELOW_TARGET_MINUS_1CM,0.28906679153442383,-0.01093320846557616
346,3.46,BELOW_TARGET_MINUS_1CM,0.28906670212745667,-0.010933297872543324
347,3.47,BELOW_TARGET_MINUS_1CM,0.2890681028366089,-0.010931897163391102
348,3.48,BELOW_TARGET_MINUS_1CM,0.2890709638595581,-0.010929036140441883
349,3.49,BELOW_TARGET_MINUS_1CM,0.28907525539398193,-0.010924744606018055
350,3.5,BELOW_TARGET_MINUS_1CM,0.28908100724220276,-0.01091899275779723
351,3.5100000000000002,BELOW_TARGET_MINUS_1CM,0.2890881896018982,-0.010911810398101796
352,3.52,BELOW_TARGET_MINUS_1CM,0.28909677267074585,-0.01090322732925414
353,3.5300000000000002,BELOW_TARGET_MINUS_1CM,0.28910672664642334,-0.010893273353576649
354,3.54,BELOW_TARGET_MINUS_1CM,0.28911805152893066,-0.010881948471069325
355,3.5500000000000003,BELOW_TARGET_MINUS_1CM,0.28913068771362305,-0.010869312286376942
356,3.56,BELOW_TARGET_MINUS_1CM,0.2891446650028229,-0.010855334997177113
357,3.5700000000000003,BELOW_TARGET_MINUS_1CM,0.2891599237918854,-0.010840076208114613
358,3.58,BELOW_TARGET_MINUS_1CM,0.28917646408081055,-0.010823535919189442
359,3.59,BELOW_TARGET_MINUS_1CM,0.2891941964626312,-0.010805803537368763
360,3.6,BELOW_TARGET_MINUS_1CM,0.2892131507396698,-0.010786849260330189
361,3.61,BELOW_TARGET_MINUS_1CM,0.2892332673072815,-0.010766732692718495
362,3.62,BELOW_TARGET_MINUS_1CM,0.28925448656082153,-0.010745513439178456
363,3.63,BELOW_TARGET_MINUS_1CM,0.2892768383026123,-0.010723161697387684
364,3.64,BELOW_TARGET_MINUS_1CM,0.28930023312568665,-0.010699766874313343
365,3.65,BELOW_TARGET_MINUS_1CM,0.28932464122772217,-0.010675358772277821
366,3.66,BELOW_TARGET_MINUS_1CM,0.28935006260871887,-0.010649937391281117
367,3.67,BELOW_TARGET_MINUS_1CM,0.2893764078617096,-0.010623592138290394
368,3.68,BELOW_TARGET_MINUS_1CM,0.28940364718437195,-0.01059635281562804
369,3.69,BELOW_TARGET_MINUS_1CM,0.28943178057670593,-0.010568219423294056
370,3.7,BELOW_TARGET_MINUS_1CM,0.2894607186317444,-0.010539281368255604
371,3.71,BELOW_TARGET_MINUS_1CM,0.2894904315471649,-0.010509568452835072
372,3.72,BELOW_TARGET_MINUS_1CM,0.28952088952064514,-0.010479110479354847
373,3.73,BELOW_TARGET_MINUS_1CM,0.2895520329475403,-0.010447967052459706
374,3.74,BELOW_TARGET_MINUS_1CM,0.28958383202552795,-0.010416167974472035
375,3.75,BELOW_TARGET_MINUS_1CM,0.28961625695228577,-0.010383743047714222
376,3.7600000000000002,BELOW_TARGET_MINUS_1CM,0.28964921832084656,-0.010350781679153431
377,3.77,BELOW_TARGET_MINUS_1CM,0.2896827161312103,-0.010317283868789662
378,3.7800000000000002,BELOW_TARGET_MINUS_1CM,0.2897166609764099,-0.010283339023590077
379,3.79,BELOW_TARGET_MINUS_1CM,0.2897510528564453,-0.010248947143554676
