case_name,stage,row_index,source_step_index,time_s,failure_reasons,l_hip_yaw_pos,r_hip_yaw_pos,sagittal_position_error_m,control_pitch_x,control_roll_y
low_0p300,step_c,106,106,1.06,support=0.1668; pitch=0.1101,-0.004468216560781,0.0075494665652513,0.1667917648739827,0.1101219101777645,0.0050653296136027
low_0p300,step_c,107,107,1.07,support=0.1675; pitch=0.1099,-0.0044694924727082,0.0076290545985102,0.1675471106869114,0.1098752328633299,0.0050964812844191
low_0p300,step_c,108,108,1.08,support=0.1683; pitch=0.1096,-0.0044695837423205,0.0077091436833143,0.1682648924335459,0.1096036094464808,0.0051301054495442
low_0p300,step_c,109,109,1.09,support=0.1689; pitch=0.1093,-0.0044686351902782,0.0077897370792925,0.1689456393511695,0.1093082979625437,0.0051660895195576
low_0p300,step_c,110,110,1.1,support=0.1696; pitch=0.1090,-0.0044667869806289,0.0078708501532673,0.1695898405346431,0.108990424245253,0.0052043293278689
low_0p300,step_c,111,111,1.11,support=0.1702; pitch=0.1087,-0.0044641615822911,0.0079525038599967,0.1701980148061567,0.1086511174380047,0.0052447253627581
low_0p300,step_c,112,112,1.12,support=0.1708; pitch=0.1083,-0.0044608688913285,0.0080347266048192,0.1707706905897136,0.1082914943404141,0.0052871806263566
low_0p300,step_c,113,113,1.1300000000000001,support=0.1713; pitch=0.1079,-0.0044570118188858,0.0081175565719604,0.1713083873880342,0.1079126009159563,0.0053316029352299
low_0p300,step_c,114,114,1.1400000000000001,support=0.1718; pitch=0.1075,-0.0044526848942041,0.008201029151678,0.1718116294685715,0.107515455823276,0.0053779054280984
low_0p300,step_c,115,115,1.1500000000000001,support=0.1723; pitch=0.1071,-0.0044479700736701,0.008285186253488,0.1722809694688933,0.1071011071424958,0.005426003013485
