directory,classification,action,reason,size_bytes
outputs/hip_yaw_divergence_fix_authority_eval,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,55751
outputs/balance_core_true_height_variants,SUMMARIZE_THEN_DELETE,REFUSED_PROTECTED,path matches protected substring,55666
outputs/phase_b9_slow_loop_gating,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,52983
outputs/prior_tuning,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,51539
outputs/height_range_extension_strategy_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,47878
outputs/phase_b9_lqr_gain_strengthening,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,45964
outputs/sagittal_velocity_damped_balance,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,45298
outputs/balance_core_extended_height_range,SUMMARIZE_THEN_DELETE,REFUSED_PROTECTED,path matches protected substring,44789
outputs/phase_b9_step5_25_hierarchical_torque_fusion,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,44452
outputs/five_variant_step_e_step_c_baseline_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,42887
outputs/boundary_yaw_position_coupling_fix,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,32017
outputs/phase_b9_step5_21_dualrate_controller_debug,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,29053
outputs/phase_b9_step5_23_equivalence_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,26203
outputs/step_c_contact_invalid_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,23508
outputs/phase_b9_step5_17_torque_level_wbc_prototype,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,22015
outputs/physical_target_height_setups,PROTECT,SKIP_PROTECT_CLASS,not a deletable class,19543
outputs/phase_b9_independent_standability_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,19367
outputs/phase_b9_step5_24_torque_first_stabilized_wbc,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,17772
outputs/boundary_deep_root_cause_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,17283
outputs/phase_b9_step5_20b_canonical_eval_rebuild,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,16854
outputs/joint_low_height_sagittal_yaw_fix,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,16764
outputs/phase_b9_step5_8_roll_redesign,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,16446
outputs/phase_b9_step5_18_deployable_motor_torque_interface,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,14194
outputs/balance_core_longevity_height_sweep,SUMMARIZE_THEN_DELETE,REFUSED_PROTECTED,path matches protected substring,13104
outputs/height_range_extension_experiment_0,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,13085
outputs/step_e_official_validation_v2,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,12806
outputs/phase_b9_step5_22_torque_first_wbc,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,12712
outputs/posture_standing_validation_a0_5000,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,12459
outputs/classical_prior_eval,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,12036
outputs/classical_prior_comparison,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,11808
outputs/phase_b9_step5_18c_torque_gain_saturation_calibration,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,11689
outputs/phase_b9_slow_loop_gating_fixed_baseline,DELETE_DIRECT,DELETED,rmtree ok,10896
outputs/phase_b9_step5_11_corrective_path_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,10552
outputs/low_height_sagittal_authority_transmission_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,9324
outputs/b9_diagnostic_pitch_only,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,9244
outputs/b9_diagnostic_step2_full,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,9226
outputs/phase_b9_step5_16_jacobian_wbc_vmc,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,9009
outputs/phase_b6_tuning_sanity,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,8608
outputs/tune_validation_smoke,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,8602
outputs/b9_diagnostic_obsfix,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,8427
outputs/phase_b7_eval,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,8322
outputs/b9_diagnostic,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,7928
outputs/b9_diagnostic_fixed,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,7910
outputs/b9_diagnostic_fixed_smoke,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,7910
outputs/b9_diagnostic_fixed_corrected,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,7638
outputs/boundary_forensic_root_cause,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,7305
outputs/phase_b9_fast_loop_only,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,7065
outputs/b9_diagnostic_rollfix,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,5830
outputs/b9_diagnostic_rollfix_flipped,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,5816
outputs/b9_diagnostic_corrected,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,5813
outputs/b9_diagnostic_resetfix,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,5813
outputs/b9_diagnostic_rollfix_strong,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,5427
outputs/hip_yaw_divergence_fix_eval,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,5207
outputs/hip_yaw_sign_convention_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,5018
outputs/phase_b9_step5_18b_hybrid_pid_torque_rollout_validation,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,5007
outputs/phase_b9_step5_7_early_roll_stabilizer,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,4876
outputs/phase_b_baseline_check,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,4733
outputs/phase_b8_ablation,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,4712
outputs/phase_b9_balanced_root_solver,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,4249
outputs/phase_b9_step5_9_roll_authority_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,4092
outputs/phase_b9_audit_gate,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,4003
