controller,height,survival_time_mean,survival_time_std,fall_rate_mean,pitch_RMS_deg_mean,pitch_RMS_deg_std,roll_RMS_deg_mean,roll_RMS_deg_std,height_RMSE_mean,height_RMSE_std,CoM_error_RMS_mean,CoM_error_RMS_std,wheel_speed_RMS_mean,wheel_speed_RMS_std,wheel_cmd_RMS_mean,wheel_cmd_RMS_std,action_saturation_rate_mean,action_saturation_rate_std,action_rate_RMS_mean,action_rate_RMS_std
height_scheduled_dynamic_lqr_ik,0.55,0.38,0.0,1.0,19.59804344177246,0.0,0.6676828265190125,0.0,0.2691124379634857,0.0,0.19598042964935303,0.0,17.435504913330078,0.0,0.11542048305273056,0.0,0.0,0.0,0.022406063973903656,0.0
height_scheduled_dynamic_lqr_ik,0.6,0.32,0.0,1.0,22.67405128479004,0.0,0.5952857136726379,0.0,0.2521933317184448,0.0,0.2267405092716217,0.0,16.855655670166016,0.0,0.10559239983558655,0.0,0.0,0.0,0.01824425533413887,0.0
height_scheduled_dynamic_lqr_ik,0.65,0.32,0.0,1.0,20.74844741821289,0.0,0.5838416218757629,0.0,0.25320571660995483,0.0,0.20748446881771088,0.0,16.18777847290039,0.0,0.08566969633102417,0.0,0.0,0.0,0.028259605169296265,0.0
height_scheduled_dynamic_lqr_ik,0.7,0.42000000000000004,0.0,1.0,21.080690383911133,0.0,0.4760442078113556,0.0,0.2531084716320038,0.0,0.21080690622329712,0.0,19.110126495361328,0.0,0.08606057614088058,0.0,0.0,0.0,0.019123168662190437,0.0
hierarchical_vmc_lqr,0.4,0.36,0.0,1.0,14.245587348937988,0.0,0.6797016859054565,0.0,0.37312522530555725,0.0,0.14245587587356567,0.0,17.75217628479004,0.0,0.26430976390838623,0.0,0.14444444444444443,0.0,0.16269148886203766,0.0
hierarchical_vmc_lqr,0.45,0.68,0.0,1.0,17.145139694213867,0.0,2.6724801063537598,0.0,0.457364559173584,0.0,0.1714513897895813,0.0,19.369155883789062,0.0,0.20458094775676727,0.0,0.3352941176470588,0.0,0.249672070145607,0.0
hierarchical_vmc_lqr,0.5,0.32,0.0,1.0,25.806705474853516,0.0,0.6482433080673218,0.0,0.4629533886909485,0.0,0.2580670416355133,0.0,16.81882095336914,0.0,0.26853814721107483,0.0,0.0875,0.0,0.24215544760227203,0.0
hierarchical_vmc_lqr,0.55,0.1,0.0,1.0,20.29511260986328,0.0,0.7305225729942322,0.0,0.44999998807907104,0.0,0.202951118350029,0.0,14.996797561645508,0.0,0.06386932730674744,0.0,0.0,0.0,0.16708415746688843,0.0
hierarchical_vmc_lqr,0.6,0.1,0.0,1.0,23.528051376342773,0.0,1.033718466758728,0.0,0.3999999761581421,0.0,0.23528051376342773,0.0,16.668397903442383,0.0,0.06422610580921173,0.0,0.0,0.0,0.16872075200080872,0.0
hierarchical_vmc_lqr,0.65,0.1,0.0,1.0,23.528610229492188,0.0,1.0337090492248535,0.0,0.3500000238418579,0.0,0.23528610169887543,0.0,16.67000961303711,0.0,0.061954375356435776,0.0,0.0,0.0,0.16862769424915314,0.0
