hip_pitch,knee,torso_height,torso_pitch,knee_forward,com_to_wheel,geometric_height,knee_forward_ok,torso_upright,com_near_wheel,full_static,analytic_height,analytic_knee_forward,target_height,com_tolerance
-0.5,2.1630872483221477,0.16916887079577997,0.0,0.12464990986299215,0.1906447501312322,False,True,True,False,False,0.20236667703873173,-0.12465064003709278,0.5,0.03
-0.5,2.184563758389262,0.16645748693479318,0.0,0.12464990986299215,0.1859381441644603,False,True,True,False,False,0.1963852572272339,-0.12465064003709278,0.5,0.03
-0.5,2.206040268456376,0.16386199106610272,0.0,0.12464990986299215,0.18118156551459227,False,True,True,False,False,0.190418497938603,-0.12465064003709278,0.5,0.03
-0.5,2.22751677852349,0.16138358029146732,0.0,0.12464990986299215,0.1763772080239437,False,True,True,False,False,0.18446915117800472,-0.12465064003709278,0.5,0.03
-0.5,2.2489932885906043,0.15902339771033586,0.0,0.12464990986299215,0.17152728757151878,False,True,True,False,False,0.1785399609195506,-0.12465064003709278,0.5,0.03
-0.5,2.2704697986577185,0.15678253189262387,0.0,0.12464990986299215,0.16663404105099686,False,True,True,False,False,0.17263366184071466,-0.12465064003709278,0.5,0.03
-0.5,2.2919463087248326,0.15466201637664073,0.0,0.12464990986299215,0.1616997253390254,False,True,True,False,False,0.166752978061038,-0.12465064003709278,0.5,0.03
-0.5,2.3134228187919468,0.15266282919239732,0.0,0.12464990986299215,0.15672661625429798,False,True,True,False,False,0.16090062188570287,-0.12465064003709278,0.5,0.03
-0.5,2.334899328859061,0.15078589241051726,0.0,0.12464990986299215,0.15171700750789416,False,True,True,False,False,0.15507929255455566,-0.12465064003709278,0.5,0.03
-0.5,2.3563758389261746,0.14903207171695682,0.0,0.12464990986299215,0.14667320964536829,False,True,True,False,False,0.14929167499715634,-0.12465064003709278,0.5,0.03
-0.5,2.377852348993289,0.14740217601373035,0.0,0.12464990986299215,0.141597548981073,False,True,True,False,False,0.14354043859442733,-0.12465064003709278,0.5,0.03
